11:46:01:765|	Широта: 53.20878055	Долгота:50.25975417
11:46:02:725|	Широта: 53.20849753	Долгота:50.25965014
11:46:03:729|	Широта: 53.20851454	Долгота:50.25965752
11:46:04:724|	Широта: 53.20851488	Долгота:50.25966117
11:46:05:727|	Широта: 53.20852078	Долгота:50.25966278
11:46:06:724|	Широта: 53.20851504	Долгота:50.25966608
11:46:07:502|	Широта: 53.20851504	Долгота:50.25966565
11:46:07:993|	Широта: 53.20851504	Долгота:50.25966608
11:46:08:481|	Широта: 53.20851474	Долгота:50.25966608
11:46:08:972|	Широта: 53.20851504	Долгота:50.25966577
11:46:09:461|	Широта: 53.20851469	Долгота:50.25966608
11:46:09:954|	Широта: 53.20851504	Долгота:50.25966608
11:46:10:442|	Широта: 53.20851471	Долгота:50.25966575
11:46:10:933|	Широта: 53.20851465	Долгота:50.25966564
11:46:11:361|	Широта: 53.20852574	Долгота:50.2596874
11:46:11:912|	Широта: 53.20852538	Долгота:50.2596874
11:46:12:597|	Широта: 53.20863024	Долгота:50.25936425
11:46:13:724|	Широта: 53.20853621	Долгота:50.25967195
11:46:14:361|	Широта: 53.20853584	Долгота:50.25967195
11:46:14:853|	Широта: 53.20853621	Долгота:50.25967156
11:46:15:667|	Широта: 53.20853529	Долгота:50.25967102
11:46:16:728|	Широта: 53.20853577	Долгота:50.25967186
11:46:17:727|	Широта: 53.20853564	Долгота:50.25967304
11:46:18:728|	Широта: 53.20853561	Долгота:50.25967248
11:46:19:727|	Широта: 53.20853563	Долгота:50.25967153
11:46:20:241|	Широта: 53.20853563	Долгота:50.2596711
11:46:20:289|	Широта: 53.20853524	Долгота:50.25967195
11:46:21:221|	Широта: 53.20853524	Долгота:50.25967195
11:46:21:300|	Широта: 53.20853541	Долгота:50.25967186
11:46:22:201|	Широта: 53.208535	Долгота:50.25967154
11:46:22:694|	Широта: 53.208535	Долгота:50.25967152
11:46:23:182|	Широта: 53.20853511	Долгота:50.25967154
11:46:23:343|	Широта: 53.20853521	Долгота:50.25967274
11:46:24:162|	Широта: 53.2085348	Долгота:50.25967238
11:46:24:361|	Широта: 53.20853498	Долгота:50.25967297
11:46:25:142|	Широта: 53.20853468	Долгота:50.25967259
11:46:25:381|	Широта: 53.2085352	Долгота:50.25967276
11:46:26:120|	Широта: 53.2085352	Долгота:50.25967276
11:46:26:410|	Широта: 53.20853511	Долгота:50.25967281
11:46:27:103|	Широта: 53.20853467	Долгота:50.25967245
11:46:27:428|	Широта: 53.20853533	Долгота:50.2596733
11:46:28:083|	Широта: 53.20853501	Долгота:50.2596729
11:46:28:450|	Широта: 53.20853498	Долгота:50.25967332
11:46:29:063|	Широта: 53.20853456	Долгота:50.25967332
11:46:29:477|	Широта: 53.20853501	Долгота:50.25967351
11:46:30:041|	Широта: 53.20853501	Долгота:50.25967316
11:46:30:504|	Широта: 53.20853531	Долгота:50.25967331
11:46:31:023|	Широта: 53.20853487	Долгота:50.25967331
11:46:31:518|	Широта: 53.20853486	Долгота:50.25967361
11:46:32:736|	Широта: 53.20853474	Долгота:50.25967352
11:46:33:736|	Широта: 53.20853512	Долгота:50.25967372
11:46:34:739|	Широта: 53.20853477	Долгота:50.25967372
11:46:35:743|	Широта: 53.2085348	Долгота:50.25967358
11:46:36:458|	Широта: 53.2085348	Долгота:50.25967321
11:46:36:511|	Широта: 53.20853471	Долгота:50.25967384
11:46:37:745|	Широта: 53.20853515	Долгота:50.2596738
11:46:38:744|	Широта: 53.20853485	Долгота:50.25967362
11:46:39:748|	Широта: 53.20853478	Долгота:50.25967306
11:46:40:745|	Широта: 53.20853514	Долгота:50.25967304
11:46:41:735|	Широта: 53.20853505	Долгота:50.25967345
11:46:42:739|	Широта: 53.20853516	Долгота:50.25967346
11:46:43:745|	Широта: 53.20853472	Долгота:50.25967352
11:46:44:254|	Широта: 53.20853472	Долгота:50.25967308
11:46:44:291|	Широта: 53.20853521	Долгота:50.2596734
11:46:45:233|	Широта: 53.20853487	Долгота:50.25967301
11:46:45:311|	Широта: 53.20853479	Долгота:50.25967303
11:46:46:213|	Широта: 53.20853448	Долгота:50.25967269
11:46:46:337|	Широта: 53.20853511	Долгота:50.25967365
11:46:47:194|	Широта: 53.20853469	Долгота:50.25967324
11:46:47:361|	Широта: 53.20853467	Долгота:50.25967385
11:46:48:174|	Широта: 53.20853467	Долгота:50.25967344
11:46:48:390|	Широта: 53.20853518	Долгота:50.25967332
11:46:49:153|	Широта: 53.20853518	Долгота:50.25967332
11:46:49:404|	Широта: 53.20853481	Долгота:50.25967315
11:46:50:133|	Широта: 53.20853481	Долгота:50.2596728
11:46:50:427|	Широта: 53.20853494	Долгота:50.25967343
11:46:51:111|	Широта: 53.20853494	Долгота:50.25967343
11:46:51:434|	Широта: 53.20853531	Долгота:50.25967349
11:46:52:093|	Широта: 53.20853487	Долгота:50.25967349
11:46:52:471|	Широта: 53.208535	Долгота:50.25967282
11:46:53:072|	Широта: 53.20853465	Долгота:50.25967238
11:46:53:480|	Широта: 53.20853496	Долгота:50.25967316
11:46:54:052|	Широта: 53.20853496	Долгота:50.25967316
11:46:54:509|	Широта: 53.20853534	Долгота:50.25967297
11:46:55:034|	Широта: 53.20853534	Долгота:50.25967264
11:46:55:529|	Широта: 53.20853516	Долгота:50.25967373
11:46:56:755|	Широта: 53.20853507	Долгота:50.25967345
11:46:57:761|	Широта: 53.20853472	Долгота:50.25967349
11:46:58:752|	Широта: 53.20853473	Долгота:50.25967379
11:46:59:756|	Широта: 53.20853519	Долгота:50.25967348
11:47:00:756|	Широта: 53.20853533	Долгота:50.25967368
11:47:01:752|	Широта: 53.20853518	Долгота:50.25967334
11:47:02:760|	Широта: 53.20853456	Долгота:50.2596733
11:47:03:751|	Широта: 53.20853451	Долгота:50.25967374
11:47:04:757|	Широта: 53.20853552	Долгота:50.25967357
11:47:05:757|	Широта: 53.20853563	Долгота:50.25967363
11:47:06:757|	Широта: 53.20853591	Долгота:50.25967378
11:47:07:280|	Широта: 53.20853559	Долгота:50.25967345
11:47:07:304|	Широта: 53.20853581	Долгота:50.25967507
11:47:08:260|	Широта: 53.20853551	Долгота:50.25967507
11:47:08:320|	Широта: 53.20853649	Долгота:50.25967644
11:47:09:242|	Широта: 53.20853649	Долгота:50.2596761
11:47:09:340|	Широта: 53.20853705	Долгота:50.25967772
11:47:10:222|	Широта: 53.20853671	Долгота:50.25967772
11:47:10:363|	Широта: 53.20853712	Долгота:50.25967855
11:47:11:202|	Широта: 53.20853712	Долгота:50.25967815
11:47:11:355|	Широта: 53.20853696	Долгота:50.25967737
11:47:12:180|	Широта: 53.20853696	Долгота:50.25967737
11:47:12:391|	Широта: 53.20853712	Долгота:50.25967596
11:47:13:164|	Широта: 53.20853678	Долгота:50.25967556
11:47:13:413|	Широта: 53.20853728	Долгота:50.25967607
11:47:14:143|	Широта: 53.20853728	Долгота:50.25967607
11:47:14:436|	Широта: 53.20853756	Долгота:50.25967759
11:47:15:122|	Широта: 53.20853712	Долгота:50.25967729
11:47:15:464|	Широта: 53.20853707	Долгота:50.25967958
11:47:16:099|	Широта: 53.20853707	Долгота:50.25967958
11:47:16:479|	Широта: 53.20853681	Долгота:50.25968108
11:47:17:081|	Широта: 53.20853638	Долгота:50.25968078
11:47:17:499|	Широта: 53.20853672	Долгота:50.25968164
11:47:18:059|	Широта: 53.20853672	Долгота:50.25968164
11:47:18:552|	Широта: 53.20853642	Долгота:50.25968134
11:47:19:039|	Широта: 53.20853629	Долгота:50.25968131
11:47:19:543|	Широта: 53.20853583	Долгота:50.25968131
11:47:20:769|	Широта: 53.20853472	Долгота:50.25968246
